Id,Name,EnglishName,FileName,ShortName
0,マジンガーZ,Mazinger Z,mazinger_z,マジンガーZ
2,劇場版マジンガーZ,Mazinger Z The Movie,mazinger_z_the_movie,劇場版マジンガーZ
4,グレートマジンガー,Great Mazinger,great_mazinger,グレートマジンガー
6,グレンダイザー,Grendizer,grendizer,グレンダイザー
8,ゲッターロボ,Getter Robo,getter_robo,ゲッター
10,ゲッターロボG,Getter Robo G,getter_robo,ゲッターG
12,コンバトラーV,Combattler V,combattler_v,コンバトラーV
14,ダイモス,Daimos,daimos,ダイモス
16,ザンボット3,Zambot 3,zambot_3,ザンボット3
18,ダイターン3,Daitarn 3,daitarn_3,ダイターン3
20,ダンバイン,Dunbine,dunbine,ダンバイン
22,ダンバインOVA,Dunbine OVA,dunbine,ダンバインOVA
24,エルガイム,L-Gaim,heavy_metal_l_gaim,エルガイム
26,機動戦士ガンダム,Mobile Suit Gundam,ms_gundam,ガンダム0079
28,機動戦士Zガンダム,Mobile Suit Z Gundam,ms_z_gundam,Zガンダム
30,機動戦士ガンダムΖΖ,Mobile Suit Gundam ZZ,ms_gundam_zz,ガンダムΖΖ
32,機動戦士ガンダム0080,Mobile Suit Gundam 0080,ms_gundam_0080,ガンダム0080
34,機動戦士ガンダム0083,Mobile Suit Gundam 0083,ms_gundam_0083,ガンダム0083
36,ガンダムセンチネル,Gundam Sentinel,ms_gundam_sentinel,ガンダムセンチネル
38,機動戦士ガンダム逆襲のシャア,Char's Counterattack,ms_gundam_char_s_counterattack,逆襲のシャア
40,機動戦士ガンダムF91,Gundam F91,ms_gundam_f91,ガンダムF91
42,ライディーン,Reideen the Brave,reideen_the_brave,ライディーン
44,ゴーショーグン,Goshogun,goshogun,ゴーショーグン
46,ダンクーガ,Dancouga,dancouga,ダンクーガ
48,オリジナル,Banpresto Originals,banpresto_originals,オリジナル
50,機動戦士ガンダム 閃光のハサウェイ,Mobile Suit Gundam Hathaway,ms_gundam_hathaway,閃光のハサウェイ
